sos;sos.wav;simple
car_brake;car_brake.wav;simple
start_a;start_a.wav;simple
start_b;start_b.wav;simple
chik;chik.wav;3d
geser_volna;geser_volna.wav;3d
avto_podnytie;avto_podnytie.wav;3d
avto_razdvig;avto_razdvig.wav;3d
voronca_b;voronca_b.wav;3d
beer_fara;beer_fara.wav;3d
enter_sumrak;enter_sumrak.wav;3d
text;done.wav;simple
factory_exp;exp3.wav;3d
factory_exp2;exp3.wav;3d
thunder;thunder.wav;3d
thunder2;thunder.wav;3d
bonus_fast;fast.wav;3d
bonus_slow;slow.wav;3d
bonus_minus;minus.wav;3d
bonus_plus;plus.wav;3d
airplane;samolet.wav;3d
airplane_exp;samolet_boom.wav;3d
forcewall;forcewall.wav;3d
nitro;semen_nitro.wav;3d
change_weapon;reload.wav;simple
undo_weapon;undo.wav;simple
button_click;click.wav;simple
motor_low;motor_low.wav;simple
motor_high;motor_high.wav;simple
motor_med;motor_med.wav;simple
rocket;rocket.wav;3d
alien_run;alien_run.wav;3d
alien_shoot;alien_shoot.wav;3d
mute_run;mute_run.wav;3d
mute_attack;mute_attack.wav;3d
mute_death_a;mute_death_a.wav;3d
mute_death_b;mute_death_b.wav;3d
car_crash_a;ccrasha.wav;simple
car_crash_b;ccrashb.wav;simple
fats_run;fats_walk.wav;simple
aliens_run;aliens_run.wav;simple
mutes_run;mutes_run.wav;simple
anubis_death_a;anubis_death_a.wav;3d
anubis_death_b;anubis_death_b.wav;3d
alien_death1;alien_death1.wav;3d
alien_death2;alien_death2.wav;3d
cybe_attack;cybe_attack.wav;3d
cybe_walk;cybe_walk.wav;3d
cybe_death;cybe_death.wav;3d
fat_attack;fat_bazar.wav;3d
fat_walk;fat_walk.wav;3d
fat_death;fat_death.wav;3d
girl_death_a;girl_death_a.wav;3d
girl_death_b;girl_death_b.wav;3d
junkie_attack;junkie_attack.wav;3d
junkie_death;junkie_death.wav;3d
oran_attack;oran_attack.wav;3d
oran_death_a;oran_death_a.wav;3d
oran_death_b;oran_death_b.wav;3d
oran_run;oran_run.wav;3d
scav_attack;scav_attack.wav;3d
scav_death_a;scav_death_a.wav;3d
scav_death_b;scav_death_b.wav;3d
sg_death_a;sg_death_a.wav;3d
sg_death_b;sg_death_b.wav;3d
beast_death_1;beast_death_1.wav;3d
beast_death_2;beast_death_2.wav;3d
tank_death_a;tank_death_a.wav;3d
tank_death_b;tank_death_b.wav;3d
tank_melee;tank_melee.wav;3d
tank_shoot;tank_shoot.wav;3d
tank_walk;tank_walk.wav;3d
zom_attack_ab;zom_attack_a_b.wav;3d
zom_attack_c;zom_attack_c.wav;3d
zom_death;zom_death.wav;3d
exp_big;exp_big.wav;simple
k1;k_1.wav;simple
k2;k_2.wav;simple
k3;k_3.wav;simple
k4;k_4.wav;simple
k5;k_5.wav;simple
k6;k_6.wav;simple
k7;k_7.wav;simple
k8;k_8.wav;simple
p1;point_1.wav;simple
p2;point_2.wav;simple
p3;point_3.wav;simple
p4;point_4.wav;simple
p5;point_5.wav;simple
p6;point_6.wav;simple
s1;super_1.wav;simple
s2;super_2.wav;simple
s3;super_3.wav;simple
s4;super_4.wav;simple
s5;super_5.wav;simple
s6;super_6.wav;simple
b1;ubm_1.wav;simple
b2;ubm_2.wav;simple
b3;ubm_3.wav;simple
b4;ubm_4.wav;simple
b5;ubm_5.wav;simple
b6;ubm_6.wav;simple
b7;ubm_7.wav;simple
n1;uns_1.wav;simple
n2;uns_2.wav;simple
n3;uns_3.wav;simple
n4;uns_4.wav;simple
n5;uns_5.wav;simple
n6;uns_6.wav;simple
u1;u_1.wav;simple
u2;u_2.wav;simple
u3;u_3.wav;simple
st1;st_1.wav;simple
st2;st_2.wav;simple
st3;st_3.wav;simple
st4;st_4.wav;simple
st5;st_5.wav;simple
st6;st_6.wav;simple
st7;st_7.wav;simple
st8;st_8.wav;simple
